Year,Make,Model,Category,inventory_id,created_at
2011,Nissan,Quest,Van/Minivan,155,2017-04-08
1995,Oldsmobile,Silhouette,Van/Minivan,949,2022-08-04
2014,GMC,Savana 1500 Passenger,Van/Minivan,157,2014-01-21
2005,Mitsubishi,Lancer,Sedan,158,2021-06-30
2005,Ford,F350 Super Duty Crew Cab,Pickup,159,2010-06-14
2009,Dodge,Challenger,Coupe,160,2019-12-28
2009,Toyota,Tacoma Regular Cab,Pickup,161,2002-04-18
2014,Chevrolet,Camaro,"Coupe, Convertible",162,2005-04-24
2008,Chevrolet,Impala,Sedan,163,2022-04-10
2003,Chevrolet,Express 3500 Passenger,Van/Minivan,164,2010-07-16
2006,Volvo,C70,Convertible,165,2000-08-27
1994,Lexus,GS,Sedan,191,2013-10-06
2006,Mitsubishi,Galant,Sedan,167,2012-06-22
1996,Chevrolet,Sportvan G30,Van/Minivan,587,2014-10-02
2018,Kia,Sedona,Van/Minivan,169,2013-05-10
2011,Jaguar,XJ,Sedan,170,2023-06-12
2015,Nissan,Versa,"Sedan, Hatchback",171,2004-08-03
2012,Chevrolet,Express 3500 Passenger,Van/Minivan,172,2016-09-22
1998,Jeep,Wrangler,SUV,173,2022-02-02
2010,GMC,Sierra 1500 Crew Cab,Pickup,174,2019-12-05
2009,Pontiac,G5,Coupe,175,2018-04-30
2018,Mercedes-Benz,G-Class,SUV,176,2001-10-12
2011,Ford,Escape,SUV,177,2009-05-22
1995,Toyota,Supra,Hatchback,819,2002-12-06
2000,GMC,Savana 3500 Passenger,Van/Minivan,179,2018-06-15
2019,BMW,4 Series,"Convertible, Sedan, Coupe",1108,2020-01-10
1997,Ford,Aerostar Cargo,Van/Minivan,181,2012-04-24
1992,INFINITI,G,Sedan,182,2007-04-04
2019,Toyota,RAV4 Hybrid,SUV,183,2022-01-15
2016,Mercedes-Benz,B-Class,Hatchback,1300,2010-06-07
2013,MAZDA,MX-5 Miata,Convertible,185,2013-02-13
2000,BMW,3 Series,"Sedan, Wagon, Convertible, Coupe",186,2018-05-29
2010,Acura,ZDX,SUV,187,2019-04-01
2016,Ford,Fiesta,"Hatchback, Sedan",188,2022-05-01
2008,Dodge,Dakota Extended Cab,Pickup,669,2011-08-03
2014,Mercedes-Benz,CLA-Class,Sedan,190,2018-06-05
1994,Lexus,GS,Sedan,191,2013-10-06
2015,GMC,Sierra 1500 Crew Cab,Pickup,570,2009-08-14
1996,Ford,Contour,Sedan,193,2019-04-17
2011,Ferrari,612 Scaglietti,Coupe,194,2019-08-12
2007,Hyundai,Veracruz,SUV,195,2011-02-23
2004,Honda,Accord,"Sedan, Coupe",646,2016-09-18
2014,Aston Martin,Vantage,"Coupe, Convertible",197,2023-11-01
2003,Cadillac,Escalade EXT,Pickup,548,2014-10-12
2017,McLaren,570GT,Coupe,199,2019-09-19
2010,Lincoln,MKT,SUV,200,2005-05-28
2003,Dodge,Dakota Club Cab,Pickup,201,2013-05-12
2010,Ford,F250 Super Duty Regular Cab,Pickup,202,2008-12-02
2019,Lexus,GS,Sedan,203,2000-05-21
1996,Dodge,Ram 3500 Regular Cab,Pickup,1354,2002-07-27
2018,Ford,Fusion Energi,Sedan,205,2000-06-17
2017,MAZDA,CX-5,SUV,206,2008-06-28
1997,Hyundai,Tiburon,Hatchback,207,2000-01-10
2009,Honda,Accord,"Sedan, Coupe",208,2004-04-02
2016,Porsche,Boxster,Convertible,209,2003-01-14
1994,Suzuki,Sidekick,SUV,1053,2001-05-30
2002,Dodge,Neon,Sedan,211,2017-12-03
2000,Honda,Insight,Hatchback,212,2009-04-29
2018,Subaru,Legacy,Sedan,213,2000-01-12
2013,Jeep,Patriot,SUV,214,2019-02-15
2000,Nissan,Frontier Regular Cab,Pickup,215,2002-09-19
2012,Nissan,Frontier King Cab,Pickup,1934,2002-12-02
2016,MINI,Hardtop 2 Door,Hatchback,217,2022-08-08
2020,Dodge,Charger,Sedan,1422,2011-05-25
2008,Volkswagen,Jetta,Sedan,219,2016-01-04
1995,GMC,3500 Crew Cab,Pickup,220,2009-12-09
2017,GMC,Savana 2500 Cargo,Van/Minivan,221,2020-09-07
2018,FIAT,500L,Hatchback,222,2011-10-20
2012,Ram,1500 Crew Cab,Pickup,223,2019-11-06
2001,Plymouth,Neon,Sedan,584,2020-07-06
2019,Mercedes-Benz,GLC,SUV,225,2010-11-26
2017,Audi,S8,Sedan,226,2001-10-23
2017,Ford,Transit 150 Van,Van/Minivan,902,2021-08-27
1996,GMC,Sonoma Club Coupe Cab,Pickup,228,2008-03-26
2001,Chevrolet,Venture Passenger,Van/Minivan,229,2010-07-22
2008,Honda,Fit,Hatchback,230,2017-01-16
2012,Buick,Verano,Sedan,231,2023-11-04
2007,Volkswagen,Rabbit,Hatchback,390,2019-09-13
2014,Cadillac,ATS,Sedan,233,2020-04-11
2016,Toyota,Land Cruiser,SUV,234,2015-07-09
2011,Porsche,911,"Convertible, Coupe",1288,2008-09-29
1993,Honda,Civic,"Coupe, Hatchback, Sedan",236,2005-06-15
2007,Toyota,Solara,"Convertible, Coupe",237,2021-05-29
1992,Oldsmobile,Silhouette,Van/Minivan,238,2018-03-11
2019,Chevrolet,Express 2500 Passenger,Van/Minivan,239,2007-03-07
2004,Audi,A6,"Wagon, Sedan",240,2008-08-23
2012,Honda,Civic,"Coupe, Sedan",676,2007-11-18
2013,Toyota,Tundra Regular Cab,Pickup,242,2013-03-26
2010,Ford,E250 Cargo,Van/Minivan,243,2019-02-23
1992,Mitsubishi,Eclipse,Hatchback,244,2006-02-15
1997,Porsche,Boxster,Convertible,245,2002-02-10
2020,Toyota,GR Supra,Coupe,246,2002-08-13
2015,Kia,Forte5,Hatchback,247,2014-09-23
2014,Toyota,Camry,Sedan,248,2013-11-04
2012,Toyota,4Runner,SUV,249,2022-09-21
2015,Mercedes-Benz,SLK-Class,Convertible,250,2020-11-05
2019,Chevrolet,Colorado Crew Cab,Pickup,251,2020-09-07
2018,GMC,Savana 2500 Cargo,Van/Minivan,252,2005-07-28
2016,Lexus,CT,Hatchback,1849,2011-12-27
2015,Aston Martin,DB9,"Coupe, Convertible",254,2014-06-10
2019,Chevrolet,Silverado 2500 HD Crew Cab,Pickup,255,2009-10-07
2004,Mercedes-Benz,M-Class,SUV,256,2000-01-16
1992,Dodge,Ram Van B150,Van/Minivan,257,2008-09-04
2008,GMC,Yukon XL 2500,SUV,258,2009-03-19
2001,Dodge,Caravan Passenger,Van/Minivan,259,2001-12-07
2007,Mercedes-Benz,SLK-Class,Convertible,1136,2007-01-26
2013,Maserati,GranTurismo,"Coupe, Convertible",261,2000-03-02
2012,Chevrolet,Suburban 2500,SUV,262,2019-12-20
2009,Mercury,Sable,Sedan,263,2000-06-20
1992,Chevrolet,Astro Cargo,Van/Minivan,1736,2001-01-06
2011,Kia,Rio,"Sedan, Hatchback",265,2005-12-01
1993,GMC,Safari Passenger,Van/Minivan,266,2016-05-16
2011,Mercedes-Benz,Sprinter 3500 Cargo,Van/Minivan,1960,2014-04-24
2017,Subaru,Forester,SUV,268,2017-01-06
2011,Lincoln,Navigator L,SUV,1110,2020-06-10
2004,Chevrolet,Express 2500 Cargo,Van/Minivan,270,2014-11-02
2014,Acura,ILX,Sedan,271,2012-05-24
2019,Subaru,Legacy,Sedan,272,2022-08-26
2009,Jaguar,XK,"Convertible, Coupe",273,2018-11-15
2004,Chevrolet,Cavalier,"Sedan, Coupe",274,2022-05-08
2007,Kia,Sportage,SUV,1930,2009-03-24
2018,MAZDA,MX-5 Miata RF,Convertible,276,2010-05-26
2014,INFINITI,QX60,SUV,277,2013-08-26
2009,Rolls-Royce,Phantom,"Convertible, Coupe, Sedan",1272,2004-06-06
1994,Chevrolet,Lumina Passenger,Van/Minivan,279,2015-11-16
1992,Eagle,Talon,Hatchback,280,2022-06-18
2016,Hyundai,Santa Fe,SUV,281,2007-09-25
2017,Kia,Forte5,Hatchback,282,2005-11-05
2006,Suzuki,Reno,Hatchback,1767,2014-02-23
2015,GMC,Sierra 2500 HD Regular Cab,Pickup,284,2019-03-04
2013,Aston Martin,Vantage,"Coupe, Convertible",285,2002-06-11
2008,Dodge,Dakota Extended Cab,Pickup,669,2011-08-03
2005,Toyota,Celica,Hatchback,287,2000-09-10
2013,Mercedes-Benz,CL-Class,Coupe,288,2020-10-15
2001,BMW,M,"Hatchback, Convertible",289,2006-05-25
1995,Land Rover,Discovery,SUV,290,2014-06-18
2009,Chevrolet,Equinox,SUV,291,2009-12-26
2018,Mercedes-Benz,Sprinter 2500 Cargo,Van/Minivan,292,2018-10-11
1999,Porsche,911,"Coupe, Convertible",293,2022-02-01
2018,Cadillac,Escalade ESV,SUV,294,2002-04-14
2012,Mitsubishi,i-MiEV,Hatchback,295,2015-11-27
2017,Mercedes-Benz,Metris Passenger,Van/Minivan,296,2005-08-21
1997,Lexus,LS,Sedan,297,2013-11-07
2001,Jaguar,S-Type,Sedan,298,2002-11-30
2012,Jaguar,XK,"Coupe, Convertible",299,2000-04-20
2020,Volvo,XC90,SUV1992,300,2014-09-25
1998,Toyota,4Runner,SUV,301,2000-09-02
2019,Chevrolet,Traverse,SUV,842,2017-07-24
2016,Audi,A4,Sedan,303,2002-07-06
2001,Audi,S4,"Wagon, Sedan",304,2021-02-18
2012,Porsche,Cayenne,SUV,1901,2002-01-14
2001,Ford,Escort,Sedan,306,2005-02-13
1995,Nissan,Altima,Sedan,307,2013-12-08
2000,Chevrolet,Blazer,SUV,308,2011-06-26
1997,GMC,3500 Club Coupe,Pickup,309,2009-12-11
2003,Jaguar,XJ,Sedan,978,2009-10-26
2002,Acura,TL,Sedan,311,2010-12-18
2002,Lexus,GS,Sedan,312,2005-05-28
2000,Chevrolet,Silverado 1500 Extended Cab,Pickup,313,2004-02-04
2001,GMC,Sierra 1500 Extended Cab,Pickup,314,2022-09-29
2006,Volvo,S80,Sedan,1610,2015-04-17
2001,Toyota,Tundra Access Cab,Pickup,316,2000-06-19
2012,Ferrari,California,Convertible,317,2014-08-12
2018,Mercedes-Benz,E-Class,"Sedan, Coupe, Convertible, Wagon",318,2019-07-30
2007,Lotus,Elise,Coupe,319,2016-08-24
2017,Land Rover,Range Rover,SUV,1588,2004-06-19
2004,Ford,Freestar Cargo,Van/Minivan,321,2003-05-31
2016,Ford,Edge,SUV,322,2007-07-29
2000,Lexus,LX,SUV,323,2019-09-03
2001,Honda,Passport,SUV,324,2006-02-14
2007,GMC,Sierra 3500 HD Extended Cab,Pickup,325,2016-10-06
2007,BMW,3 Series,"Coupe, Sedan, Convertible, Wagon",326,2015-10-06
2009,Volkswagen,Rabbit,Hatchback,327,2004-06-21
2009,Audi,A8,Sedan,328,2021-09-01
2003,GMC,Safari Passenger,Van/Minivan,329,2002-08-07
1994,Chevrolet,Corvette,"Hatchback, Convertible",330,2021-01-02
2015,Freightliner,Sprinter 2500 Cargo,Van/Minivan,331,2007-09-28
2002,Dodge,Intrepid,Sedan,1837,2005-10-24
2005,GMC,Savana 3500 Passenger,Van/Minivan,333,2022-10-13
1992,INFINITI,M,"Coupe, Convertible",334,2021-03-14
1996,Buick,LeSabre,Sedan,335,2017-11-18
2003,Ford,F250 Super Duty Regular Cab,Pickup,794,2020-06-07
1998,Suzuki,Esteem,"Sedan, Wagon",337,2012-08-29
1992,Ford,Crown Victoria,Sedan,338,2005-04-27
2013,Nissan,NV2500 HD Cargo,Van/Minivan,339,2019-04-01
2009,Ford,E350 Super Duty Passenger,Van/Minivan,340,2022-05-25
2000,Mercury,Mystique,Sedan,341,2015-01-31
2014,Mercedes-Benz,CLS-Class,Coupe,342,2000-11-15
2005,Ford,E150 Super Duty Cargo,Van/Minivan,343,2006-09-05
2012,Suzuki,Equator Crew Cab,Pickup,344,2020-01-16
2019,Ford,Taurus,Sedan,1778,2022-07-30
2017,Lincoln,Navigator,SUV,346,2021-10-30
2017,Buick,Envision,SUV,347,2014-10-24
2019,Hyundai,Veloster,Coupe,348,2013-01-01
2010,Ford,E350 Super Duty Passenger,Van/Minivan,349,2013-12-31
2012,Mercedes-Benz,SLK-Class,Convertible,1164,2007-04-05
1996,Isuzu,Oasis,Van/Minivan,351,2017-05-29
2016,Kia,Rio,"Sedan, Hatchback",352,2004-10-12
2019,Nissan,NV1500 Cargo,Van/Minivan,353,2011-09-28
2008,Chevrolet,Uplander Passenger,Van/Minivan,354,2017-06-14
1997,Buick,Skylark,"Sedan, Coupe",355,2013-05-15
2018,Nissan,Titan King Cab,Pickup,356,2013-04-01
2012,Chevrolet,Silverado 3500 HD Crew Cab,Pickup,1982,2014-08-08
2015,BMW,7 Series,Sedan,358,2000-05-31
1996,Chevrolet,Impala,Sedan,852,2023-11-16
2007,Audi,S8,Sedan,360,2013-06-19
2005,Chevrolet,Avalanche 2500,Pickup,361,2013-03-16
2004,Volkswagen,Jetta,"Wagon, Sedan",362,2002-07-08
2008,Nissan,350Z,"Coupe, Convertible",363,2014-12-30
2003,Ford,E150 Passenger,Van/Minivan,364,2011-10-18
1993,Chevrolet,3500 Regular Cab,Pickup,365,2014-09-17
2019,Honda,CR-V,SUV,366,2010-09-13
2006,Volkswagen,Rabbit,Hatchback,367,2019-04-27
2008,Cadillac,XLR,Convertible,368,2016-05-29
2009,BMW,M6,"Coupe, Convertible",369,2009-11-11
2000,Chevrolet,Metro,"Hatchback, Sedan",370,2004-01-22
2018,Porsche,Macan,SUV,1568,2004-02-27
2001,Chrysler,Concorde,Sedan,372,2010-11-05
2016,Chevrolet,Suburban,SUV,373,2000-09-28
2017,Nissan,370Z,"Coupe, Convertible",374,2007-09-16
1998,GMC,Savana 3500 Passenger,Van/Minivan,375,2017-06-17
2014,Lamborghini,Gallardo,"Coupe, Convertible",376,2006-07-09
1993,Chevrolet,Camaro,Hatchback,377,2001-12-05
2008,Audi,S5,Coupe,378,2014-01-28
2013,Ferrari,F12berlinetta,Coupe,379,2016-02-02
2008,Cadillac,Escalade EXT,Pickup,380,2009-11-11
2000,BMW,X5,SUV,381,2016-12-23
2000,Chevrolet,Express 1500 Passenger,Van/Minivan,382,2002-10-22
2020,Chevrolet,Camaro,Convertible,383,2001-02-01
2006,Audi,S4,"Sedan, Wagon, Convertible",384,2003-06-15
2007,Toyota,Matrix,Wagon,385,2000-02-22
2018,Land Rover,Range Rover Velar,SUV,386,2003-12-17
2005,Land Rover,Freelander,SUV,1771,2015-03-05
2018,Ford,F150 Super Cab,Pickup,388,2020-01-21
2005,Land Rover,Freelander,SUV,1771,2015-03-05
2007,Volkswagen,Rabbit,Hatchback,390,2019-09-13
2008,Porsche,911,"Coupe, Convertible",391,2013-10-19
1992,Geo,Storm,"Coupe, Hatchback",392,2007-12-02
2000,Dodge,Intrepid,Sedan,393,2001-08-06
1998,Nissan,Sentra,Sedan,394,2007-02-16
2016,Honda,CR-V,SUV,395,2008-08-08
2003,Audi,A6,"Sedan, Wagon",396,2018-02-01
2015,BMW,2 Series,"Coupe, Convertible",1944,2014-01-24
2013,Ford,Transit Connect Cargo,Van/Minivan,398,2007-02-09
2003,Oldsmobile,Alero,"Sedan, Coupe",929,2003-03-31
2004,Ford,F350 Super Duty Super Cab,Pickup,400,2003-02-27
2014,Ram,1500 Regular Cab,Pickup,401,2000-04-08
1993,Oldsmobile,Silhouette,Van/Minivan,1618,2014-06-16
2001,Dodge,Stratus,"Coupe, Sedan",403,2018-09-09
2020,Subaru,BRZ,Coupe,404,2019-08-15
2016,Jaguar,XF,Sedan,1165,2008-04-08
2008,BMW,M3,"Coupe, Sedan, Convertible",406,2019-04-08
2001,GMC,Sierra 1500 Regular Cab,Pickup,407,2019-03-24
1992,GMC,Suburban 2500,SUV,408,2012-03-27
2009,Suzuki,Equator Extended Cab,Pickup,409,2018-03-08
2005,GMC,Sierra 2500 HD Extended Cab,Pickup,410,2001-01-21
2004,Hyundai,XG350,Sedan,411,2022-11-14
2003,Ford,Expedition,SUV,1486,2012-01-08
1997,Honda,del Sol,Coupe,413,2019-03-09
2017,Ram,ProMaster City,Van/Minivan,414,2003-03-04
2016,Hyundai,Sonata,Sedan,1346,2006-09-16
2013,Volvo,C70,Convertible,416,2018-12-11
2007,Nissan,Quest,Van/Minivan,1787,2020-02-23
2004,Honda,Accord,"Sedan, Coupe",646,2016-09-18
2007,Honda,Civic,"Sedan, Coupe",419,2013-08-19
2011,INFINITI,QX,SUV,420,2014-02-24
2018,Ford,Flex,SUV,421,2019-02-09
1994,Dodge,Ram 2500 Regular Cab,Pickup,422,2001-06-19
2007,Kia,Sportage,SUV,1930,2009-03-24
2005,Chevrolet,Aveo,"Sedan, Hatchback",424,2012-08-06
2019,Ford,Explorer,SUV,425,2021-01-15
2003,Audi,A4,"Wagon, Sedan, Convertible",426,2014-05-26
2011,Ford,Flex,SUV,427,2001-06-29
1993,Dodge,Ram Wagon B350,Van/Minivan,428,2001-11-10
1997,INFINITI,QX,SUV,429,2010-05-18
2003,Hyundai,Tiburon,Coupe,430,2012-03-20
2015,MAZDA,MAZDA3,"Sedan, Hatchback",431,2009-03-23
2017,Lexus,GX,SUV,432,2021-07-16
2004,Chevrolet,Silverado 2500 HD Crew Cab,Pickup,433,2011-04-02
2006,Chevrolet,SSR,Pickup,434,2001-09-02
2019,Kia,Rio,"Sedan, Hatchback",805,2008-06-05
2000,Isuzu,Rodeo,SUV,436,2007-11-18
2012,Ford,Flex,SUV,437,2001-05-15
2001,Subaru,Forester,SUV,438,2001-05-25
2002,Pontiac,Bonneville,Sedan,439,2006-12-16
2011,Volvo,C70,Convertible,440,2001-10-08
2011,Hyundai,Santa Fe,SUV,441,2010-08-19
2008,Land Rover,Range Rover,SUV,442,2001-07-05
2011,Land Rover,LR2,SUV,443,2010-03-20
2010,Bentley,Continental,"Convertible, Sedan, Coupe",444,2019-06-03
1997,INFINITI,Q,Sedan,445,2008-10-06
1998,Isuzu,Rodeo,SUV,446,2007-07-24
1996,Chrysler,Sebring,"Coupe, Convertible",447,2020-02-02
2010,Volkswagen,Passat,"Sedan, Wagon",448,2021-03-02
1997,Oldsmobile,Achieva,"Sedan, Coupe",449,2021-02-25
1993,Buick,Park Avenue,Sedan,450,2010-01-11
2012,Audi,Q5,SUV,451,2015-12-17
1995,Jeep,Wrangler,SUV,452,2014-10-03
2002,GMC,Savana 3500 Passenger,Van/Minivan,453,2006-04-17
